Concentration,R,G,B
0.178,215.64508124989084,208.02874920970393,130.34735268857835
0.18,222.48878185523972,199.92628549150103,125.2827801287481
0.182,210.35033489637718,196.14917721038663,123.17133730872025
0.184,212.2606615498717,198.0787235557823,126.256912945426
0.186,209.67151681481386,195.36207867363046,123.29797759053845
0.188,220.26920282409424,200.10100915077578,125.71909406467685
0.19,214.4210519718165,200.70354089164866,118.25585952567073
0.192,217.50662190397813,195.44448858235108,124.21836552151035
0.194,218.16759697557595,198.55300665145597,120.63500514930577
0.196,218.3193994200601,202.94351298401196,123.93966740984158
0.198,225.7508806130873,202.30006349220878,122.66739468501362
0.2,216.0746057897239,202.62875988765595,123.9918342144957
0.202,223.7968125729151,205.21462625212976,126.76982637170869
0.20400000000000001,212.86704962418196,192.56756398446518,126.3653949291196
0.20600000000000002,209.398391939276,200.52000523339572,130.24692283446555
0.20800000000000002,222.21516101546828,205.90435158135057,125.30065839876748
0.21,221.76264290624263,193.44503706605371,124.33113508435649
0.212,214.79151329122786,197.03556969626473,132.38149805421997
0.214,214.16010600724576,195.9593060656129,129.41020360357828
0.216,215.77000196072913,207.94557301800356,118.58057359183927
0.218,208.45834584353878,204.5003694150113,122.37758622943002
0.22,212.88644588245032,197.0197108946461,120.91068478276037
0.222,214.976709629082,200.67073844379573,125.87351727210712
0.224,221.05421279904525,187.57540460003892,116.68021712092275
0.226,205.37882303920014,202.04993007402916,124.33071243179286
0.228,215.08005470022485,201.53070274644938,127.466889504667
0.23,214.15888180890713,196.80049932763018,128.89817075188105
0.232,210.49618541792495,195.5308106645411,131.3949136916996
0.234,215.16497053969655,191.18307951193427,123.42006718168219
0.23600000000000002,208.8005861643521,200.66981706443468,119.88111225199533
0.23800000000000002,218.51995512400973,201.87099258723796,122.91850036393217
0.24,213.07063933156027,204.0443582006691,125.01066255256373
0.242,214.6659831857095,191.59459595338186,121.88258112010449
0.244,216.54649133984367,202.0298744002535,128.27564781512814
0.246,216.27372614039967,201.92770005278783,118.91989710352159
0.248,205.8163614874256,205.55626302857075,125.58842791520426
0.25,218.32061055884603,198.42008088175334,124.62203570324588
0.252,213.66648911127558,196.29864085310652,125.89448955938812
0.254,210.0103866722725,199.1769598868957,125.32273756478189
0.256,206.97317684069293,210.8684410231727,127.35719475176292
0.258,220.52451951767853,208.5312095862752,126.45379410816874
0.26,218.42069959416827,204.27665516681643,135.1917836325319
0.262,210.3008196472697,197.24019002904024,123.8419154986395
0.264,218.96281433712264,206.88063798662762,135.2374605458131
0.266,211.5581096068982,207.19924752051313,125.72679965945817
0.268,211.63473338058435,201.1317162713554,125.47855708552646
0.27,217.8039942881369,197.43096372199568,122.85098851334341
0.272,217.2113031098157,195.87870766099374,126.07401561205373
0.274,208.65660345806648,196.40096662047327,123.06853964823398
0.276,211.4768283280057,206.64877100928555,125.57904736256586
0.278,212.84741931866702,195.73612384983724,126.17578200155143
0.28,215.5391895396246,195.27693432665245,124.88566725513571
0.28200000000000003,216.06617334815738,189.03692873278158,123.94934810048358
0.28400000000000003,213.71089984279106,201.59353212228825,117.25267094406627
0.28600000000000003,217.11054013269904,208.48052495555496,122.60933473484775
0.28800000000000003,218.35952635450406,199.47898437171847,126.42211106165583
0.29,218.2253492581379,201.36237325001483,120.21434951474136
0.292,208.97440033437448,199.08399017504593,129.3209361001653
0.294,219.68175682857571,205.18191833625193,128.04554143944546
0.296,213.52935001717572,195.81732377635612,112.24284058124576
0.298,226.00319155160904,198.3500254641261,114.49225592151392
0.3,217.93839439426156,193.22430528850688,132.09855124117925
0.302,220.65176505099473,201.045768485267,121.04741896555443
0.304,214.19272922711937,197.73344060082997,122.12427080953094
0.306,215.94036461895945,199.64687977680745,119.76270632048217
0.308,209.1397260221595,195.5677034605357,122.00042996618035
0.31,215.86618175108043,193.84820181146895,116.80111496732943
0.312,214.18052093128375,192.77545519434923,125.8855510455908
0.314,215.7076004910687,194.03929398225605,135.40704355743256
0.316,218.97003078537628,198.59862856434108,120.10186199357013
0.318,216.3137983866071,196.25575885819123,120.36831326321858
0.32,213.06558450747764,198.05701380346665,121.03466132098835
0.322,213.7101895706376,198.7539946745873,122.95828783632729
0.324,216.57097649722542,205.01491034485548,113.74637882964352
0.326,217.44642679719738,201.15646277567612,129.64534855587655
0.328,221.14187936594953,193.96404827398382,123.46891015832487
0.33,216.1610259213833,200.26800552182016,124.88119366869971
0.332,212.32320807517073,195.92582105568093,124.14484079273672
0.334,219.0925318825303,199.11655553237426,120.2343209882465
0.336,220.26609148617482,201.49630809154652,126.93353999896134
0.338,214.6673114465055,202.5043951995289,118.36362669525454
0.34,208.2741178189574,200.57088332812987,130.38233984388216
0.342,216.13683766848195,196.55457679696698,123.97885032067765
0.34400000000000003,216.85776660219693,192.08062172244573,115.44270744916162
0.34600000000000003,206.68280251059144,203.84181379931857,118.708432922384
0.34800000000000003,218.0440267052935,189.44070906595195,119.70829704712905
0.35000000000000003,204.99040345997258,196.17216581173676,132.50113107566852
0.352,208.27589506878135,194.85636663025727,129.9802747944807
0.354,215.2127989500753,195.56435487138398,124.53396740898498
0.356,204.72215514593552,196.35633418469237,113.79779923633716
0.358,204.4048727683991,184.38177900429824,128.0329310341254
0.36,211.2328148006561,198.546535998246,128.48667142779163
0.362,215.38516499879879,199.36461510283905,121.0570656239631
0.364,213.49057053124096,193.43716273257456,124.6529111308027
0.366,209.5287319114715,203.27885999612323,126.89669360958686
0.368,217.4116064906006,195.41816287787563,124.49468180838987
0.37,213.8063604648258,199.06764224764805,132.97899617970873
0.372,218.0418019363842,193.11768853871015,129.5096765005826
0.374,220.3624512397525,192.8103737309107,120.93215343701453
0.376,212.58243763647042,200.48064375505706,125.61624217360799
0.378,206.89619485474407,208.29386901522068,115.20276077718643
0.38,209.50075673616337,193.3657216756899,115.79790523051008
0.382,207.6367780686814,189.92212554078236,111.60452780051779
0.384,216.11686748879208,197.23116617267058,129.7466272545429
0.386,214.32246017323283,198.01624324319477,127.04937540414764
0.388,206.82829852051108,185.8457712005477,119.39603879433925
0.39,219.5736349378066,197.68436344690758,123.4434273894983
0.392,215.59561389319398,202.32043194881007,123.90033090156524
0.394,210.26091092391673,194.2518836541034,115.22709573107367
0.396,209.63566671508465,194.81531965154,126.30587358732723
0.398,209.12762417853804,205.99673537998717,125.59378241849043
0.4,220.28190328562013,200.91993180500018,124.81188281134803
0.402,213.43436079626963,199.88657613055216,131.19834669984706
0.404,210.98227662747692,191.0205086973422,128.09157761059217
0.406,211.12264529702324,193.14477185616917,121.82901641843092
0.40800000000000003,214.3943110442773,190.68767649531074,122.15500959288927
0.41000000000000003,210.21135113095312,202.67909243892655,122.06669122318362
0.41200000000000003,206.1007258832801,191.41163896927677,117.91936642054893
0.41400000000000003,204.99625312145054,199.83966358018165,120.42405730890394
0.41600000000000004,214.4538047875068,195.24849089872592,121.04099223531003
0.418,208.55755348909653,198.2058106209692,130.02367665321992
0.42,222.63277056878687,193.22376837251412,110.45316521382048
0.422,215.46034751161653,194.45570630930604,127.54136636322718
0.424,203.42304936316765,184.76607263024997,120.91203236853126
0.426,210.97828268307143,197.63602823479127,123.7799356122947
0.428,204.80275157516311,185.02584580313993,123.59480459389441
0.43,206.03411796058285,196.05690142536255,115.96386561451206
0.432,211.6079218977154,201.53719053852032,126.32620819376973
0.434,213.41499089524936,204.54600812493882,116.44533074485868
0.436,207.53563251309512,207.24256969545038,123.07840594029791
0.438,214.3098905420538,193.25180383678494,123.28911121462632
0.44,210.8271064693239,197.51508854803754,122.64051085616447
0.442,224.83105308973035,196.52437955388604,124.68515120421341
0.444,218.93940522943268,192.24500591646847,123.83154939809504
0.446,217.7351080193153,189.87035867293193,125.48539611546907
0.448,218.74989809175074,185.87100994216223,122.42239400909907
0.45,211.87402364632726,193.90254930275677,115.65724472291532
0.452,217.5718163756764,194.30581392681114,120.26731366133534
0.454,216.0420483428515,196.47845647948466,127.0556174352242
0.456,212.1472879033407,203.8203767438951,127.9989107824262
0.458,211.5007557710374,198.18498852281206,121.03581816867244
0.46,211.10504954043245,192.04921468259042,125.57933843755427
0.462,207.9266119042921,197.69880116723235,117.71908676313582
0.464,208.70513751285654,187.04967313598596,123.23903477527666
0.466,209.85032396635404,188.2671388269637,114.76194401621348
0.468,212.24441302706498,197.1467909275251,116.08349736806645
0.47000000000000003,208.2785111359901,195.91087570381274,131.36314836843906
0.47200000000000003,217.89061106805096,191.190757217433,125.68872999433607
0.47400000000000003,208.14257192354103,188.43884124611245,136.51854147479418
0.47600000000000003,213.3145547936645,204.18470397269223,120.62514684304931
0.47800000000000004,208.59624582460836,191.79502284531077,131.7642063564441
0.48,206.8323365228916,193.7618057837145,124.50602571682342
0.482,216.13476618661593,185.98071391037374,121.15041719272965
0.484,209.91400903019775,192.2196696578123,126.28662511628879
0.486,203.6132477062592,189.08101966043924,120.92806948164791
0.488,215.3794107818741,198.8942683249339,115.19393889694209
0.49,211.66753619005607,184.21483337079442,111.74858221577888
0.492,207.75722710667372,195.12215602394278,119.67036842378012
0.494,216.5249457473147,197.39394445869533,119.76795986566678
0.496,203.04516750834728,195.69839000205513,130.0893164901073
0.498,209.04415616027066,187.5576989818297,115.0938089529105
0.5,203.57427299569983,198.31091943649167,114.1457284844276
0.502,212.16719297933165,179.87004365384269,124.95270268773518
0.504,217.36023144116848,198.14667525872562,120.72445123843418
0.506,203.73361620597342,189.47051585944612,122.95099488099204
0.508,212.16571777366926,198.64689139674456,116.27705303555115
0.51,203.56675599662177,193.88102893701165,123.10879156738555
0.512,206.46960670148977,190.56156495494156,122.99896969051171
0.514,207.79805144202157,193.2785012724395,126.1654945256898
0.516,212.21390997857088,195.13133256953185,112.5007576075306
0.518,210.4080756920901,193.2151602833724,123.45391536086717
0.52,204.48857357239064,195.66962059196726,122.95249248960403
0.522,215.20200713494393,185.80121480308273,118.54468866445652
0.524,206.80534159408006,193.11095813003925,117.18792155925198
0.526,218.15618112166877,193.74214692397797,120.00738865079897
0.528,212.6918016617046,186.59656048599425,112.44986358778866
0.53,212.38161833209224,188.11094268990342,122.46165106904542
0.532,197.5895673966151,197.90463087802567,118.85208225805962
0.534,208.2016162334939,181.42810147633966,119.73070037223889
0.536,211.8507973551434,196.154525467103,120.84633894191518
0.538,211.55063513051184,198.73418363678115,123.9350090711936
0.54,212.53068353581762,189.17286703954542,120.99180480383936
0.542,205.8256952520934,187.39122645447694,123.4739265987705
0.544,215.36748483526708,192.5723528880639,125.90293648154525
0.546,211.7663540616978,184.5405660362613,114.61973332169742
0.548,206.52208163634648,198.83313232547954,119.20517465180038
0.55,208.23781213858737,197.8171145005375,121.06002946741765
0.552,201.02888821188677,196.9843267158169,134.6205766148963
0.554,209.32816548498835,193.6307793561391,117.61690141763714
0.556,207.67737415746763,198.73673474974785,122.31787130720237
0.558,211.00609923870718,194.23801133190742,118.18499123677931
0.56,201.66545149736004,189.0133591978637,125.15953720060331
0.562,196.98400788642164,188.52361501609596,115.68272860128165
0.5640000000000001,206.6018308219234,195.98703860169297,110.52130738526425
0.5660000000000001,211.24700625156134,196.29895727597483,115.76377337564962
0.5680000000000001,205.2094820732408,191.35530860885254,114.63462608120955
0.5700000000000001,211.66633235261196,192.81489447677512,124.53582622040534
0.5720000000000001,206.89160616110811,195.01396092321508,119.2664229552046
0.5740000000000001,200.6030993309918,186.83075309065617,122.19282363156009
0.5760000000000001,217.3038988946661,194.09136273121334,120.9048719601213
0.578,203.4495477907732,198.46262883905308,118.31684774743228
0.58,208.4604830930694,179.706726865393,121.21218910743241
0.582,223.52869102213242,197.72523534965939,123.95313297250846
0.584,211.20182629925753,181.16519613250247,112.04155287939552
0.586,209.33524648220282,195.70535949825788,112.66888415100337
0.588,216.12665002823326,194.64021354534916,120.60298499617467
0.59,204.96954028311183,182.57346029124662,123.03409499312002
0.592,209.17006251506132,192.5481952946321,115.69464240200982
0.594,211.36564665436384,188.48947721976623,113.69154979049043
0.596,207.28502113077448,194.80121788860404,116.6866348426459
0.598,210.68465047755117,191.03388338504283,127.21266150316252
0.6,213.26628623053278,189.8209100945559,123.63850935875499
0.602,209.36381720485838,189.27671605461177,117.53127570959819
0.604,213.878167718868,190.09925663753597,115.29856560997314
0.606,217.56008024212056,189.6326576654386,120.49892018223564
0.608,208.1463509868697,184.61364597205252,118.47684575669979
0.61,215.20384465377055,191.97310856531618,122.14820916772518
0.612,202.3967109893773,188.95863944483906,123.16701183781437
0.614,208.5889636962694,192.98078232965415,120.74713748741212
0.616,210.22904028656677,194.60227415385103,113.76518477071723
0.618,211.07622190855818,198.37085165590318,122.51557921598847
0.62,207.49682161365573,186.198274995323,122.15658798630035
0.622,221.02578265997118,199.52239120676137,121.34491668031042
0.624,207.63332963893552,188.60776629286414,121.01696761033199
0.626,200.12461239574296,197.74681560797268,111.95967494900762
0.628,208.3334503745133,189.32082941909323,115.80448671935643
0.63,211.1460251119605,180.49637910857686,115.63619694282878
0.632,213.95247139528632,194.93056872015956,118.68949071865973
0.634,204.94251805851815,193.50062952901706,111.23713881091949
0.636,206.30023031051877,192.51743131607344,114.16762906616808
0.638,214.48723944108954,192.69483737985152,117.38757756956258
0.64,210.14101030154714,187.09355110802696,126.90984620346606
0.642,215.1340036388781,183.74180544062753,117.03546593540123
0.644,204.75517554960135,181.65997664031025,118.7920874893277
0.646,206.83362062452622,188.40996702498757,117.06842638558835
0.648,212.20101593276013,188.32499846621036,118.4798894417458
0.65,207.91486117777941,181.315138028311,124.84808956531512
0.652,201.7356301470232,182.32286386577377,115.94067028590868
0.654,198.46460925091375,193.79306654391618,123.15320242492147
0.656,211.18748950661072,191.14129673368228,122.17047915314093
0.658,199.53170227392636,190.30991463703447,114.88387054138856
0.66,209.74005287084844,186.71294885967265,125.80439634413892
0.662,207.33197766514445,195.37597832809618,119.3848387232031
0.664,206.1631371894758,181.51527816019797,116.51112563054372
0.666,209.87791412381827,185.660827366993,121.66731341986541
0.668,216.2562445015269,184.79953518004834,116.65308234365153
0.67,203.48844555200927,196.72242373608466,116.68646489393745
0.672,213.84844680159,192.20197102476277,120.78808047896969
0.674,202.4704121054538,186.3597676868277,117.88475450630845
0.676,215.262230585604,190.55974716779227,121.03942554200353
0.678,203.93462061303637,199.70963712368703,115.32917928126133
0.68,206.9775933017163,195.90793764813577,120.05512239704063
0.682,211.53862877858316,188.06249033838634,116.55576229329834
0.684,203.24539203862875,185.94063050447485,121.15674836192338
0.686,214.8296651026125,194.6218592032221,119.16112402765414
0.6880000000000001,209.28484858899748,193.19971771242626,110.5955929231835
0.6900000000000001,213.3002881545939,190.58658082401055,122.84238674579139
0.6920000000000001,197.8923618493368,180.9874835171524,117.25683923923381
0.6940000000000001,202.5904524308881,185.81577113161632,117.10811751940264
0.6960000000000001,208.89489478263155,188.85998475229528,123.84326497618102
0.6980000000000001,199.58318056153996,208.75536733313783,121.63680819415039
0.7000000000000001,208.47837510849217,195.9283241671761,116.44201568384739
0.7020000000000001,206.12204428062435,190.5252046281326,118.51613076877427
0.704,211.14364323982954,189.27309123653603,117.2644246005077
0.706,209.91831398804356,194.15883247336308,115.09897491245265
0.708,195.04531717516878,185.7804660450195,120.31408800063878
0.71,200.08721297374146,199.3119344422912,119.37211674383605
0.712,204.79336834427642,185.59614766442252,119.66997044774453
0.714,212.2102970783865,182.4157218962729,124.6947222786367
0.716,210.38775865259342,189.98515131841557,113.80963353765435
0.718,206.6983642989397,180.74050250185476,112.9929390341078
0.72,201.84599390496805,189.69500910954616,118.91623500424416
0.722,212.1145395778302,185.4397225760974,123.93466293780541
0.724,201.63521751705596,185.77682819218535,123.09916847165816
0.726,205.7925301164862,193.99817607564466,117.90330267741791
0.728,213.38020008933586,192.7328375294908,125.77053628641445
0.73,205.4690097671643,182.22134247155643,122.70218444591804
0.732,209.8514825471864,188.06112395425595,121.97143751447099
0.734,207.72653048909757,182.93805068017943,121.70825637919928
0.736,214.0953686457122,190.01155615184865,120.37913432979069
0.738,202.76699400815664,180.181872569138,127.29887544863143
0.74,208.63197239623736,189.20136583938674,124.24352582366544
0.742,213.86846439256888,173.3432717618166,120.08381533298059
0.744,206.87200609602414,189.56777542825458,123.37552973474817
0.746,214.5115705103413,191.79345014471005,115.71389598043804
0.748,206.98287439738067,178.2409720947017,118.20254559284257
0.75,195.8485851300582,189.3368162111714,116.05378571310342
0.752,207.7199648205123,190.4098207991584,123.12694095116163
0.754,203.35896707005023,176.33895168245914,122.05379992691337
0.756,205.0009851261049,180.7298733813146,121.25111589152374
0.758,214.4971679718624,186.7086562486534,116.85642353039655
0.76,205.2055763547347,198.2474778935695,127.55073001927411
0.762,206.90016290081377,190.80229630349268,117.2598838486609
0.764,205.69347370703306,188.96215036501454,120.4686450858964
0.766,208.096541319684,190.3020183243221,115.9111126530546
0.768,202.35427220565452,183.39846368157365,114.77893605079609
0.77,204.04058565162413,198.03120183439697,114.31988493451063
0.772,205.36193811146134,181.49003005039654,117.17664333079449
0.774,210.73044261642576,187.39668036884038,110.50577632637635
0.776,205.9812210195823,188.0192637818817,123.78646022136333
0.778,214.11012277698353,191.48476228575282,117.33149855462653
0.78,200.37971332845336,188.30705688803482,116.5793311345559
0.782,212.00106808787027,187.41641367735696,125.35890881969677
0.784,209.12912825052143,181.57127250914442,112.66274319934493
0.786,208.826853758506,186.04106728603932,120.10745892762917
0.788,204.77013213646862,186.7166013884664,117.13261959884318
0.79,209.99630350843503,184.52626571178874,126.31195345003628
0.792,214.89219289464882,185.55080477902436,118.4020588158747
0.794,206.4289344197467,191.45507565112428,118.80211727282264
0.796,213.3097896854336,190.38019838167884,112.09620798079558
0.798,212.04831971508185,188.06352841398177,108.59684007086601
0.8,199.1015118081874,182.0431203723337,112.84249712167376
0.802,211.27910717134841,191.54916798030013,124.04104442338256
0.804,197.35486266350378,189.1441376265046,115.25476300356966
0.806,199.81225014021297,176.32354907731866,112.83953067217497
0.808,207.03609776782196,182.46424297256635,111.74425732758962
0.81,201.6954593213879,181.79712949208846,118.94377527946962
0.812,205.2622228325114,179.12366151218708,112.03512646467965
0.8140000000000001,199.5244348864997,189.55313966068354,109.2340439550061
0.8160000000000001,204.9816573233985,190.8913413056401,111.9751178594971
0.8180000000000001,207.4217825782721,192.48511827594027,125.28615133390596
0.8200000000000001,200.60989350809393,188.30502460485516,107.6746797986307
0.8220000000000001,215.11135105349908,177.252393357862,106.12538509568601
0.8240000000000001,198.77557176099285,193.30905889759418,123.60189554591152
0.8260000000000001,204.48830902820006,199.68623989832597,117.06237634148108
0.8280000000000001,210.83096039980958,184.51496879196137,109.60440680530928
0.8300000000000001,209.4769345995444,192.70079984363073,112.24761745768456
0.8320000000000001,202.87215484091405,188.7517785617807,119.76125850409883
0.834,194.18353455791475,189.37510329249784,118.13343309198429
0.836,207.14115923504625,191.36885076140132,112.78121469232522
0.838,209.19717545443518,187.29967596050332,122.96129518522031
0.84,202.10512278491913,188.77982454735863,109.97325448815627
0.842,200.6969585117122,186.5194766907309,113.11898019286073
0.844,200.81795811682392,187.69632817112674,116.86895172081718
0.846,204.77278270786996,191.96871182434433,114.91958429613281
0.848,204.7708031368057,186.26259687073428,115.9842421282108
0.85,200.01823484817257,190.9538895694858,118.56792059932889
0.852,196.02601123130353,182.70346965293737,111.80810925078319
0.854,201.2530234052293,186.09894110987864,110.38257433642235
0.856,203.29521097640315,190.39825674275372,114.7155600084891
0.858,198.0398673918782,194.41863350566925,106.57561176422473
0.86,204.55189559778827,180.41219372140833,107.99051613713569
0.862,210.46112628334527,178.5681619780964,110.81925985824907
0.864,203.80126916332756,183.7143671601194,116.58732974313668
0.866,202.25736617262896,188.37517096936182,108.90291614777702
0.868,207.03967388177654,194.43381861436552,119.98680435613095
0.87,210.2128547424359,176.58089246341018,119.84475747311447
0.872,195.71408757446528,190.42433052062833,113.55246446513848
0.874,207.95543237063762,195.65700942808164,113.15206907647386
0.876,199.1309499134032,188.922136751219,113.0705667451182
0.878,209.68455027261476,189.50575528492112,120.13138775820289
0.88,205.540467778999,178.64990181393864,118.05478652848656
0.882,193.85147530296032,192.4582299815522,120.13944235679045
0.884,197.1834424313066,189.72424994048163,117.85314170109422
0.886,206.9874043468262,180.25491862510475,107.74649460247873
0.888,196.49238102450843,182.8615152861202,101.86507883229405
0.89,204.6639272222558,178.07604324483646,120.92530718427219
0.892,200.33011696365074,186.4246676831501,120.75254238005151
0.894,202.27052791641702,185.8902299415794,122.53382985053567
0.896,201.73546898710538,193.44388815870428,113.99927893538201
0.898,205.09930118187407,178.65148859922246,113.94887846089891
0.9,208.35627801471261,184.89027438749923,122.75396269922592
0.902,195.58933682945596,180.22545200283545,114.12406022927988
0.904,210.10953628228458,179.82296055079289,112.90941849434323
0.906,205.77123345915732,179.1096807777605,124.36175443352018
0.908,199.8534594301786,184.76418114702565,109.85041514213346
0.91,206.605427927328,177.92208981530584,115.06358420176862
0.912,195.53549125836287,185.22629245846545,116.88770090024515
0.914,197.9302736161171,180.97339247153428,111.94921443672466
0.916,204.43404390033066,188.35790662880206,119.71618235399261
0.918,212.28970229292568,184.73979303326925,111.51850696187269
0.92,203.64617991536352,194.80976381576818,107.32009047526701
0.922,204.16527688545787,183.85667845941268,125.85032675859877
0.924,203.88294088528588,193.17106421019776,116.39957489847895
0.926,205.41591861185483,181.53340980979922,110.93627416313814
0.928,197.22849481836852,182.6225506726615,119.84302154890696
0.93,201.97320334347557,181.82956513250997,119.5676516108579
0.932,203.55970847387968,183.8019021106547,116.27571710669181
0.934,206.0322687229271,178.97746307780196,115.13192232805217
0.936,196.15904454445345,185.23310274955958,110.41472508202273
0.9380000000000001,202.63913005954657,171.96236481964124,121.61820916492516
0.9400000000000001,198.5804283820829,177.47500622865294,109.1086291579741
0.9420000000000001,204.44945400507726,190.84515258041452,111.41035615289364
0.9440000000000001,204.30220992469953,186.57752394406293,119.92484039514149
0.9460000000000001,205.2961013031889,174.3972008009568,111.51838779334791
0.9480000000000001,197.8690377302109,178.76439993820975,118.84327298789684
0.9500000000000001,197.88283145603566,177.82973057904016,119.05758502872182
0.9520000000000001,196.93108697988944,187.4611394136205,124.0205038558757
0.9540000000000001,206.7365088185182,190.22418470674927,115.94570660966373
0.9560000000000001,205.40375863433238,184.6585707558755,109.65279826028198
0.9580000000000001,208.3381568776876,184.99401076690904,116.2595968405744
0.96,199.27748382657376,176.78195299325054,114.36313191771133
0.962,194.551040791527,184.16533190797045,109.73961878093718
0.964,199.33332913018492,183.99240869556064,110.48022372417796
0.966,206.70766029994246,177.20067747899708,105.1342781962486
0.968,207.07922161969915,183.71126862988132,108.93189184615282
0.97,200.26809658724653,168.24191738275468,101.9896211834525
